tgl,beli,jual,tengah,spread,mata_uang,target_jual,target_beli,jual_lag_1,beli_lag_1,jual_lag_2,beli_lag_2,jual_lag_3,beli_lag_3,jual_lag_5,beli_lag_5,jual_lag_7,beli_lag_7,jual_lag_14,beli_lag_14,jual_ma_7,jual_ma_14,jual_std_7,jual_diff_1,spread_lag_1,day_of_week
2026-03-25,16897.09,17066.91,16982.0,169.82,USD  ,16989.53,16820.47,,,,,,,,,,,,,,,,,,2
2026-03-26,16820.47,16989.53,16905.0,169.06,USD  ,16987.51,16818.49,17066.91,16897.09,,,,,,,,,,,,,,,169.82,3
2026-03-27,16818.49,16987.51,16903.0,169.02,USD  ,17041.78,16872.22,16989.53,16820.47,17066.91,16897.09,,,,,,,,,,,,-77.38000000000102,169.06,4
2026-03-30,16872.22,17041.78,16957.0,169.56,USD  ,17077.97,16908.03,16987.51,16818.49,16989.53,16820.47,17066.91,16897.09,,,,,,,,,,-2.0200000000004366,169.02,0
2026-03-31,16908.03,17077.97,16993.0,169.94,USD  ,17083.99,16914.01,17041.78,16872.22,16987.51,16818.49,16989.53,16820.47,,,,,,,,,,54.27000000000044,169.56,1
2026-04-01,16914.01,17083.99,16999.0,169.98,USD  ,17087.01,16916.99,17077.97,16908.03,17041.78,16872.22,16987.51,16818.49,17066.91,16897.09,,,,,,,,36.19000000000233,169.94,2
2026-04-02,16916.99,17087.01,17002.0,170.02,USD  ,17100.08,16929.92,17083.99,16914.01,17077.97,16908.03,17041.78,16872.22,16989.53,16820.47,,,,,,,,6.020000000000437,169.98,3
2026-04-06,16929.92,17100.08,17015.0,170.16,USD  ,17122.19,16951.81,17087.01,16916.99,17083.99,16914.01,17077.97,16908.03,16987.51,16818.49,17066.91,16897.09,,,17047.814285714285,,43.18386498726176,3.0199999999967986,170.02,0
2026-04-07,16951.81,17122.19,17037.0,170.38,USD  ,17177.46,17006.54,17100.08,16929.92,17087.01,16916.99,17083.99,16914.01,17041.78,16872.22,16989.53,16820.47,,,17052.552857142855,,47.25631764264791,13.070000000003347,170.16,1
2026-04-08,17006.54,17177.46,17092.0,170.92,USD  ,17094.04,16923.96,17122.19,16951.81,17100.08,16929.92,17087.01,16916.99,17077.97,16908.03,16987.51,16818.49,,,17071.504285714287,,44.27623887110685,22.109999999996944,170.38,2
2026-04-09,16923.96,17094.04,17009.0,170.08,USD  ,17167.41,16996.59,17177.46,17006.54,17122.19,16951.81,17100.08,16929.92,17083.99,16914.01,17041.78,16872.22,,,17098.64,,42.38603622263405,55.27000000000044,170.92,3
2026-04-10,16996.59,17167.41,17082.0,170.82,USD  ,17197.56,17026.44,17094.04,16923.96,17177.46,17006.54,17122.19,16951.81,17087.01,16916.99,17077.97,16908.03,,,17106.105714285713,,34.586602828810236,-83.41999999999825,170.08,4
2026-04-13,17026.44,17197.56,17112.0,171.12,USD  ,17207.61,17036.39,17167.41,16996.59,17094.04,16923.96,17177.46,17006.54,17100.08,16929.92,17083.99,16914.01,,,17118.882857142857,,38.73243245407308,73.36999999999898,170.82,0
