tgl,beli,jual,tengah,spread,mata_uang
2026-03-25,16897.09,17066.91,16982.0,169.82,USD  
2026-03-26,16820.47,16989.53,16905.0,169.06,USD  
2026-03-27,16818.49,16987.51,16903.0,169.02,USD  
2026-03-30,16872.22,17041.78,16957.0,169.56,USD  
2026-03-31,16908.03,17077.97,16993.0,169.94,USD  
2026-04-01,16914.01,17083.99,16999.0,169.98,USD  
2026-04-02,16916.99,17087.01,17002.0,170.02,USD  
2026-04-06,16929.92,17100.08,17015.0,170.16,USD  
2026-04-07,16951.81,17122.19,17037.0,170.38,USD  
2026-04-08,17006.54,17177.46,17092.0,170.92,USD  
2026-04-09,16923.96,17094.04,17009.0,170.08,USD  
2026-04-10,16996.59,17167.41,17082.0,170.82,USD  
2026-04-13,17026.44,17197.56,17112.0,171.12,USD  
2026-04-14,17036.39,17207.61,17122.0,171.22,USD  
2026-04-15,17049.33,17220.67,17135.0,171.34,USD  
2026-04-16,17055.29,17226.71,17141.0,171.42,USD  
2026-04-17,17056.29,17227.71,17142.0,171.42,USD  
2026-04-20,17103.06,17274.94,17189.0,171.88,USD  
2026-04-21,17090.12,17261.88,17176.0,171.76,USD  
2026-04-22,17056.29,17227.71,17142.0,171.42,USD  
2026-04-23,17093.1,17264.9,17179.0,171.8,USD  
2026-04-24,17221.46,17394.54,17308.0,173.08,USD  
2026-04-27,17191.61,17364.39,17278.0,172.78,USD  
2026-04-28,17140.87,17313.13,17227.0,172.26,USD  
2026-04-29,17158.78,17331.22,17245.0,172.44,USD  
2026-04-30,17237.38,17410.62,17324.0,173.24,USD  
2026-05-04,17291.11,17464.89,17378.0,173.78,USD  
2026-05-05,17281.16,17454.84,17368.0,173.68,USD  
2026-05-06,17337.88,17512.13,17425.0,174.25,USD  
2026-05-07,17317.97,17492.03,17405.0,174.06,USD  
2026-05-08,17275.19,17448.81,17362.0,173.62,USD  
2026-05-11,17288.13,17461.88,17375.0,173.75,USD  
2026-05-12,17327.92,17502.08,17415.0,174.16,USD  
2026-05-13,17426.43,17601.57,17514.0,175.14,USD  
2026-05-18,17408.52,17583.48,17496.0,174.96,USD  
2026-05-19,17577.67,17754.33,17666.0,176.66,USD  
2026-05-20,17630.4,17807.6,17719.0,177.2,USD  
2026-05-21,17596.58,17773.42,17685.0,176.84,USD  
2026-05-22,17584.63,17761.37,17673.0,176.74,USD  
